TradingDate,AAA,ACB,AGG,ANV,ASM,BCG,BCM,BID,BMP,BVH,BWE,CII,CMG,CRE,CTD,CTG,CTR,DBC,DCM,DGC,DGW,DHC,DIG,DPM,DXG,DXS,EIB,FPT,FRT,FTS,GAS,GEG,GEX,GMD,GVR,HCM,HDB,HDC,HDG,HHV,HPG,HSG,HT1,IMP,KBC,KDC,KDH,KOS,LPB,MBB,MSB,MSN,MWG,NKG,NLG,NT2,NVL,OCB,PAN,PC1,PDR,PHR,PLX,PNJ,POW,PPC,PTB,PVD,PVT,REE,SAB,SAM,SBT,SCR,SCS,SHB,SJS,SSB,SSI,STB,SZC,TCB,TCH,TMS,TPB,VCB,VCG,VCI,VHC,VHM,VIB,VIC,VIX,VJC,VND,VNM,VPB,VPI,VRE,VSH
7/15/2021,14092,18383,35518,24477,8324,8745,43506,29988,42473,45594,28699,15085,18545,14123,44703,30573,54300,24483,14805,33591,35673,57450,18812,15570,18360,18096,19139,58608,16908,16555,70853,13049,19943,37268,28720,24261,17529,29616,26949,14600,31992,28380,12943,66997,24488,58241,30042,28550,15107,20262,16833,94978,54642,21986,31546,15257,79394,14614,24300,16384,57805,40574,46179,67420,10525,17755,55120,14697,16141,32281,74190,8105,15887,8519,62308,16271,61800,22596,31976,28800,22019,50527,12563,30609,16161,67190,34409,38301,29862,81276,24463,90668,8505,114800,14386,74177,21456,28536,28000,17741
7/16/2021,13915,18860,35448,24341,8600,8782,41439,29847,42699,46045,30607,15324,18571,14627,44482,30267,57700,24805,15063,34132,35054,57331,19386,16061,17784,18720,19068,59568,17423,16604,70462,12926,19674,38006,29521,24060,17661,31678,27606,15400,32164,27986,12855,66446,24525,58241,30538,28400,14971,20124,17070,99520,54969,21986,31976,15218,79852,14641,24500,15754,59793,40821,46361,68058,10426,17755,56482,14507,15882,32722,73309,8105,16142,8436,63115,16748,61500,22120,31440,28450,23557,50042,12596,31764,16257,67190,33718,37650,29328,80318,24436,94046,8428,115400,14281,74786,21624,28495,27700,17656
7/19/2021,13076,18046,35238,22706,8084,8224,39131,27846,41721,43337,30192,14941,18128,14291,43965,28171,57900,23378,14288,32967,33385,57331,18033,15684,16549,17472,18326,58127,17595,15446,67878,12476,18733,38468,27496,22399,16843,33411,27113,14800,30479,26094,12412,67456,22875,58241,30827,28350,13934,18775,15886,98612,51176,20478,32233,14820,78630,14107,23500,15250,58202,39131,44456,64938,9934,17415,57843,13522,14800,32029,71685,7644,15292,7852,62830,15258,59600,20746,29356,27500,23076,46550,11842,31648,15130,63585,33718,35049,28259,76855,22747,91468,7856,114000,13199,74002,20115,28131,26800,17107
7/20/2021,13650,19029,35308,23978,8324,8447,38554,28794,42473,45052,30192,15180,18571,14980,44186,29044,57600,23838,15020,33841,33869,57568,18279,16438,16714,17472,18221,59568,17395,16259,69679,12680,19360,39113,29003,23909,17635,34188,26949,14700,32543,27907,12943,66905,24375,58241,30496,28400,13962,19294,16567,101585,53825,21316,32749,14781,79012,14667,23900,15565,59595,40574,44773,65222,10131,17528,59011,13409,15189,32596,71917,7930,15717,8056,63732,16152,60600,21895,31381,28100,24038,48005,12367,30898,15825,65683,33948,36422,29633,78549,22883,91557,7837,114500,14456,74786,20316,27928,26700,17741
7/21/2021,13650,18973,35518,23251,8496,8373,37689,28583,42172,44691,31768,15324,18493,15031,44038,28695,59900,23470,14977,34090,36238,57568,18033,16324,16961,18283,18185,59431,18426,16555,68426,13008,19002,39759,28438,23204,17001,34188,28263,14600,32164,28223,13209,66905,24338,58241,30290,28450,14293,19363,16508,100759,53432,21014,32792,14582,78707,14827,23900,15565,58600,40409,45363,64655,10082,17453,59919,13257,15146,32911,72752,7930,15632,8343,63589,15913,60300,21867,30666,27850,23717,48781,12399,31706,15873,64896,34255,35410,29328,79581,22393,92446,7780,114000,14456,74264,20216,28049,27400,17234
7/22/2021,14092,19141,35798,24568,9081,8931,40312,28794,42323,45865,31851,15611,18780,16073,44482,29263,61000,24022,15666,35919,38069,59108,19263,16664,18072,18782,19068,61353,19200,16752,69992,13212,19181,40220,29662,23481,17107,34965,29304,14700,32474,28617,13298,65712,24825,58241,32397,28550,14354,19605,16567,101502,54021,21450,34382,14741,80081,15227,24700,15943,59727,41027,46179,66002,10180,17415,59270,13560,15709,33290,72520,8363,15674,8927,64016,16211,61400,22989,31083,28000,25352,49557,12563,33901,16233,65748,34563,35771,30970,81792,22720,94401,7761,114000,15084,75570,20383,29184,28200,17318
7/23/2021,13738,18524,35448,24068,9219,9006,40457,28232,42398,45504,31436,15516,18728,16107,44334,28389,61700,23700,15838,38414,37154,60423,19263,16626,17043,17784,18362,62108,19372,16259,68896,12926,19136,39206,29191,22776,17081,34726,28866,14700,31511,27552,13298,65253,24075,58241,31736,28600,14415,19190,16655,98281,52877,21115,34039,14622,78630,15094,25600,15691,58733,40574,45544,64513,10328,17264,59659,13030,15233,32470,71267,8381,15419,8927,64016,15735,62500,22975,30130,28700,24871,48005,12137,32399,15825,63585,34409,34254,30359,79286,21903,92446,8295,113400,14560,76266,19612,29144,27000,17403
7/26/2021,13650,18355,35448,25340,9047,9043,39826,28092,42699,45684,31975,15516,20032,16443,43965,28083,60800,24483,16311,40118,39388,60273,20206,17305,17372,17160,18362,64304,20719,15963,69131,12926,19315,41327,30603,22499,17160,35025,29632,14300,31373,27119,13298,66446,24375,58432,32356,28600,13987,18810,16626,100016,52419,20545,36144,14701,82066,15121,26800,15880,59992,40244,45272,64300,10328,17377,62253,13181,15492,32785,71221,8372,15717,9121,63826,15735,63700,22271,30249,28700,25576,47520,12203,34074,15777,62929,34332,33242,31428,80760,21004,92623,8581,114000,14630,77398,19009,29590,26750,17656
7/27/2021,14136,18608,37900,25295,9047,8931,40020,28232,43525,45594,31270,15516,20632,16325,44038,28389,63000,24989,16268,38663,39308,60872,20083,17342,17290,16785,17585,63961,20719,16308,69679,12885,19808,41327,30886,23129,17160,34666,28811,14400,31786,28144,13387,66079,24450,58146,32439,28700,14323,18948,16803,103650,51667,21249,35672,14622,81302,15254,26800,16541,59528,40244,45635,63875,10623,17113,62577,13636,15882,33290,71685,8418,15547,8991,64491,15973,63300,22761,30964,29100,25256,48248,12334,34305,16353,62274,34371,34326,31275,79434,21630,92712,8428,114900,15189,76179,19109,29184,27650,17656
7/28/2021,14401,18608,39231,25295,8806,8819,39389,28443,42849,45323,30275,15372,20762,16645,43817,28739,62500,25311,16139,38954,37827,61320,20452,17569,17084,16224,17479,63137,20060,16308,69757,12885,19763,40681,30745,23103,17371,33531,27387,14400,32130,28301,13342,66079,25425,59196,32025,29100,14354,19087,16803,102824,51372,21450,35586,14582,79470,15734,26700,16478,60257,40162,45817,63875,10426,16999,61540,13522,15838,33037,71685,8289,15504,8890,64443,16033,62100,22608,31202,28900,25384,48199,12563,34074,16400,63585,33411,33893,31466,78476,21957,93512,8276,114400,15224,75657,18875,28941,27200,17530
