time,aapl,amd,msft
2015-01-02,27.32,2.69,46.76
2015-01-05,26.58,2.66,46.36
2015-01-06,26.55,2.63,45.63
2015-01-07,26.93,2.57,46.21
2015-01-08,27.95,2.61,47.62
2015-01-09,28.0,2.63,47.17
2015-01-12,27.32,2.62,46.62
2015-01-13,27.52,2.66,46.3
2015-01-14,27.41,2.61,45.9
2015-01-15,26.71,2.52,45.49
2015-01-16,26.5,2.39,46.22
2015-01-20,27.18,2.25,46.39
2015-01-21,27.41,2.43,45.97
2015-01-22,28.09,2.4699999999999998,47.05
2015-01-23,28.24,2.45,47.14
2015-01-26,28.29,2.61,47.02
2015-01-27,27.31,2.71,42.65
2015-01-28,28.91,2.62,41.18
2015-01-29,29.68,2.62,41.96
2015-01-30,29.24,2.57,40.38
2015-02-02,29.62,2.66,41.29
2015-02-03,29.65,2.76,41.55
2015-02-04,29.84,2.86,41.76
2015-02-05,29.97,3.35,42.47
2015-02-06,29.71,3.03,42.38
2015-02-09,29.94,3.03,42.37
2015-02-10,30.51,3.05,42.59
2015-02-11,31.21,3.06,42.27
2015-02-12,31.61,3.11,43.04
2015-02-13,31.77,3.15,43.86
2015-02-17,31.89,3.12,43.55
2015-02-18,32.18,3.08,43.53
2015-02-19,32.1,3.06,43.48
2015-02-20,32.33,3.06,43.85
2015-02-23,33.24,3.05,44.13
2015-02-24,33.06,3.1,44.09
2015-02-25,32.19,3.11,43.93
2015-02-26,32.61,3.09,44.06
2015-02-27,32.11,3.11,43.85
2015-03-02,32.24,3.21,43.82
2015-03-03,32.35,3.15,43.28
2015-03-04,32.13,3.06,43.03
2015-03-05,31.59,2.99,43.09
2015-03-06,31.61,2.92,42.3
2015-03-09,31.81,2.93,42.85
2015-03-10,31.17,2.93,42.12
2015-03-11,30.58,2.85,42.0
2015-03-12,31.13,2.75,41.01
2015-03-13,30.89,2.76,41.42
2015-03-16,31.24,2.75,41.58
2015-03-17,31.78,2.7800000000000002,41.72
2015-03-18,32.13,2.76,42.47
2015-03-19,31.87,2.75,42.33
2015-03-20,31.7,2.81,42.78
2015-03-23,31.86,2.84,42.9
2015-03-24,31.69,2.79,42.95
2015-03-25,30.87,2.64,41.5
2015-03-26,31.1,2.66,41.21
2015-03-27,30.78,2.74,40.99
2015-03-30,31.58,2.7,40.97
2015-03-31,31.19,2.68,40.77
2015-04-01,31.03,2.68,40.67
2015-04-02,31.38,2.68,40.34
2015-04-06,31.82,2.7199999999999998,41.59
2015-04-07,31.52,2.7,41.57
2015-04-08,31.37,2.7199999999999998,41.4
2015-04-09,31.64,2.73,41.48
2015-04-10,31.77,2.75,41.71
2015-04-13,31.69,2.77,41.81
2015-04-14,31.55,2.68,41.59
2015-04-15,31.71,2.7,42.27
2015-04-16,31.54,2.88,42.16
2015-04-17,31.18,2.57,41.59
2015-04-20,31.91,2.5,42.95
2015-04-21,31.72,2.35,42.65
2015-04-22,32.15,2.29,43.01
2015-04-23,32.43,2.34,43.33
2015-04-24,32.56,2.31,47.89
2015-04-27,33.12,2.34,48.0
2015-04-28,32.59,2.31,49.12
2015-04-29,32.13,2.29,49.04
2015-04-30,31.26,2.2800000000000002,48.68
2015-05-01,32.21,2.31,48.61
2015-05-04,32.19,2.32,48.22
2015-05-05,31.46,2.29,47.66
2015-05-06,31.25,2.3,46.27
2015-05-07,31.31,2.32,46.77
2015-05-08,31.88,2.3,47.77
2015-05-11,31.6,2.32,47.44
2015-05-12,31.51,2.34,47.39
2015-05-13,31.49,2.36,47.63
2015-05-14,32.23,2.35,48.76
2015-05-15,32.18,2.33,48.28
2015-05-18,32.55,2.34,48.02
2015-05-19,32.53,2.29,47.55
2015-05-20,32.56,2.31,47.6
2015-05-21,32.86,2.31,47.41
2015-05-22,33.18,2.2800000000000002,46.9
2015-05-26,32.41,2.23,46.59
2015-05-27,33.03,2.2800000000000002,47.69
2015-05-28,32.96,2.27,47.46
2015-05-29,32.64,2.2800000000000002,46.96
2015-06-01,32.63,2.25,47.25
2015-06-02,32.5,2.29,46.96
2015-06-03,32.51,2.3,46.84
2015-06-04,32.32,2.31,46.35
2015-06-05,32.18,2.33,46.2
2015-06-08,31.96,2.3,45.75
2015-06-09,31.88,2.2800000000000002,45.68
2015-06-10,32.24,2.33,46.66
2015-06-11,32.18,2.32,46.42
2015-06-12,31.8,2.31,46.02
2015-06-15,31.75,2.33,45.46
